user,text
@simon_ekpa,All these news bloggers looking for Christmas news na python ooo
@gunsnrosesgirl3,This guy in Bankok found an enormous python in his house
@ai_insights3,Free data science certification courses: 1. Python http://cs50.harvard.edu/python/ 2. SQL http://online.stanford.edu/courses/soe-ydatabases0005-databases-relational-databases-and-sql… 3. PowerBI (Data Analytics) http://learn.microsoft.com/en-us/users/collinschedler-0717/collections/m14nt4rdwnwp04… 4. Tableau
@clcoding,Magic with Python Turtle
@cheftee_lead,I need to constantly remind myself that Python is Case Sensitive #PythonDecsmber
@KirkDBorne,Now… EXCEL with #Python
@iam_bimbey,Built a simple calculator using python
@hannahsox12,What's your favorite programming language for backend? - Ruby - Python - PHP - JavaScript (with Nodejs) - Other?
@Artifence,"if you are starting on laerning python and you dont know a project to learn with, try creating a car wash management system."
@mrym_data,8 tools Data analysts use; - R - SQl - Excel - Python - Pandas - Matplotlib - Google Analytics - Tableau and Power BI
@thebeautyofsaas,Two weeks of studying Python basics All it takes For you to be able to save hundreds of hours on your 9-5 Eliminating all the unnecessary manual work from your daily schedule Allowing you to be more productive Should be considered a crime not to use
@DimaZeniuk,"When Elon and Kimbal Musk founded Zip2, they encouraged investors by placing a small computer in a big frame, calling it ""The Machine That Goes Ping"" like in Monty Python. ""Every time investors would come in, we showed them the tower and we would laugh because it made them think…"
@USATODAY,An 11-foot alligator was seen trying to swallow a python at the Everglades National Park in Florida.
@clcoding,Live Exchange Rates using Python
@csaba_kissi,Learn for Free HTML http://w3schools.com CSS http://web.dev/learn/css JavaScript http://javascript.info SQL http://SQLzap.com React http://react-tutorial.app API @Rapid_API Python http://learnpython.org Git and Github http://git-scm.com NextJs…
@TheTechKage,Python in 50 Days
@maybe_riya,My Singapore working IT cousin advised me to learn Python or Java instead of JavaScript because Web Development is going to be in the grave because of AI. I couldn't argue with him because my family will throw me out of the house . So if someone meets please argue with him
@ven8462,Day36 & 37 of #100DaysOfCode (R2) - Finished reading the Automate the Boring Stuff With Python. - my last read was the pillow module. - python is super fun
@quickvidsdaily,Sped up version of python climbing tree
@TerrifyingAsFk,Python trap using live chicken
@Harsa_Dash,"10000+ pages of all programming PDF note books Just Free of Cost! Simply, 1. Like & reply “ pdf ” 2. Repost (Much appreciated) 3. Follow ( So that I can DM) Here are some"
@applied_python,Python Quiz. Can you answer the below question?
@CreeCoder,According to Grok it takes this long to learn each programming language: Python: 2-3 months Java: 3-4 months JavaScript: 2-3 months C#: 3-4 months PHP: 2-3 months C++: 4-6 months R: 2-3 months Swift: 2-3 months Ruby: 2-3 months TypeScript: 1-2 months (if you already know…
@drhammed,"If you're a (STEM) student interested in doing an MSc/PhD abroad, please learn R or Python and NOT SPSS!!! Unless you're in social sciences, I can bet no one will use SPSS to teach graduate-level statistics. There are tons of resources available online to help! Good luck"
@Mssophia_,Finally did my #GitHubUnwrapped! Python for the win.
@pythondevz,"Python Book; I'm giving away some FREE copies of ""Python for Data Science For Dummies"", to my followers. If you want a copy, please do the following: Like Retweet Comment And then even better, send me a DM"
